,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
478,札幌北交ハイヤー株式会社 | 免許取得～独り立ち後まで全面サポート／経験者はしっかり稼げる,《お客様を安全＆快適に目的地までご案内するタクシー業務をお任せ》★イチからスタートできる★家庭との両立も可能★初めてでも安心の制度が充実,＼未経験入社の社員活躍中／ ◎普通免許があればOK！／すでに二種免許をお持ちの方や過去に乗務員経験のある方も歓迎です《経験不問》,■北海道札幌市豊平区平岸2条16丁目2-1 └地下鉄南北線「南平岸」駅から徒歩5分 ★マイカー通勤…,【月給】20万円〜 (一律手当含む) ※能力・経験を考慮の上、決定いたします。 ※試用期間(3ヵ月)は契約…,250万円～500万円
479,鶴信運輸株式会社 | 最近も未経験から20・30代の社員が入社★1年目で月収40万円可能,《大型免許取得サポート！未経験者も活躍中》様々なコースから、希望・適性・免許に応じた配送ルートを任せします。★初心者でも安心の固定ルート！,《必要なのは免許だけ！学歴不問》◎中型免許(旧普通免許もOK)大型免許をお持ちの方優遇★最近も未経験から20・30代の社員が入社★女性社員も活躍中,《 転勤なし！車通勤OK 》 希望に応じて、本社(岡山県岡山市)／津山市／広島県広島市／兵庫県加西…,"月給 24万5,000円 〜 45万円 ＋ 諸手当 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮の上…",350万円～600万円
480,株式会社PRIME | サポート体制万全だから未経験でも活躍できる！,動画クリエイターとして、動画コンテンツの企画・撮影・配信をトータルにお任せします。,【業界未経験歓迎／学歴不問】★スマートフォンの基本的な操作スキルさえあればOK！YouTubeやSNSに興味がある方！未経験スタートも安心のサポート体制,【原則自由／完全在宅勤務】 全国どこでもリモートで勤務可能です♪ 流行りのテレワーク！ 業務の連絡…,"時給1,100円〜5,000円 【給与例】 ・初月→【50,000円】GET！ （平均40時間業務/時給換算1,250円） ・2…",
481,株式会社エスコーポレーション | カスタムカーを専門とした販売店／完全週休2日,【問い合わせがメインだから、テレアポやノルマはありません！】カスタムカーのご購入を検討されるお客様への提案をお任せします！,【未経験・第二新卒歓迎】◆男女・学歴不問 ◆要普免(AT限定可) ◆営業デビューの方も歓迎！先輩もほとんどが未経験スタートです,【転勤なし／マイカー・バイク通勤OK！】 ★車の貸出制度もあります！ 大阪府寝屋川市高宮栄町25-…,"月給200,000円~400,000円 + インセンティブ + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定…",
482,津下ダイヤモンド工業株式会社 | ●10～30代未経験者初年度給与実績は月給25～36万円！（2020年）,公共事業などに欠かせない公益性の高い仕事です。やる気さえあれば誰にでもできます。未経験者の方大歓迎！基礎から丁寧に指導しますので大丈夫です。,学歴・年齢・経験一切不問（中・高・専・大卒他全ての方大歓迎）●未経験者の方大歓迎！新人からベテランの方まで丁寧に指導●第二新卒特別特集参画中,本社（兵庫県神戸市中央区脇浜町3-2-16） ※ＭＥＧＡドン・キホーテ神戸本店の横です。 ※神戸の…,月給制/25万円〜50万円 ●16歳未経験者の方でも初任給月給25万円以上を必ず保証致します。 ●当社では頑…,
483,株式会社東海サービスセンター | 1988年設立した全国に19の支社を展開する企業,【専門知識やスキル、資格は必要なし！】一般家庭をメインにエアコンなどの家電製品の取り付け業務をお任せします。,《未経験歓迎！年齢不問》正社員デビューをしたい方◆入社時の専門知識は一切不問です！,【静岡支社】 静岡県静岡市駿河区下川原4-6-12 【長野営業所】 長野県松本市笹賀5824-5…,"月給230,000円以上 ※経験、能力を考慮し決定します。 ※試用期間中（最大3ヶ月）は月給170,000円となり…",330万円～390万円
484,株式会社ユキ設備 | 大型施設の設置実績多数★好待遇でお待ちしています！,＜ あの有名施設にも！＞　◎大型施設への空調設備・換気設備の設置にともなう業務　★残業は多くても月10時間以内 ★現場への直行直帰もOK！,＜ いまの働き方、変えませんか？＞　☆配管工事・空調設備設置・建設業界の実務経験がある方　◎学歴不問　◎要普免　★将来を見据えて働ける環境！,＼転勤なし／＼マイカー通勤OK／ ※現場は沖縄県内全域となります。 現場への直行直帰が基本となりま…,月給26万円〜 ＜モデル例＞ 月収30万円／管工事施工管理技士（2級） ※年齢、経験、能力を考慮の上、…,
485,株式会社センターユース | 大手家電量販店の配送・設置業務 ★普通免許(AT限定可)だけでOK,《 軽自動車(AT限定可)を使用・広島市内の近距離！》大手家電量販店の荷物を、担当エリアに配送する「ドライバー」または「運行管理」をお任せ,【 年齢・学歴・経験不問 】■要普免(AT限定OK) ◎日勤のみ！身体への負担も少なめ ◎ドライバー経験者、配送・引越し業界の経験者は優遇します！,【転勤なし】 ■広島県広島市中区八丁堀14-7カシマビル5F 『八丁堀』電停から徒歩2分,"月給250,000円以上 ＋諸手当 ＋賞与年2回 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳…",
486,文化シヤッター株式会社 | 【東証一部上場】国内トップクラスのシェアを誇る業界パイオニア,【有給研修からスタート】シャッター・ドア等の取付作業をお任せします☆研修中は月額22万円以上を保証！☆独立3年目の平均月収は50万円,【未経験～ベテラン経験者まで大歓迎】☆高収入・自由な時間、どちらも手に入る！◆学歴不問◆経験不問◆要普免◆モノづくりが好きな方,原則自由 全国に事業所がございますので、希望勤務地を確認の上、決定させていただきます。 ※秋田県、…,完全出来高制 ※1案件あたり5000円〜。案件内容により支払報酬も変わります。,
487,群馬日梱株式会社 | 【ニッコンホールディングス株式会社（東証一部上場）グループ】,【手厚い福利厚生もご用意！】★完成車の輸送をお任せします！完成車を運転してトラックに積込みするため、重量物の取扱いはありません！,【学歴・男女不問！実務未経験の方も歓迎です】★未経験入社(元営業、元製造、元農家など)の先輩が活躍中！,【エリア限定採用！U・Iターン歓迎】 群馬営業所／群馬県太田市新田大町600-28,【中型】月給26〜38万円 【大型】月給35〜45万円 【トレーラー】月給38〜50万円 ※経験・年齢を考慮の上…,400万円～600万円
488,株式会社東海サービスセンター | 1988年設立した全国に19の支社を展開する企業,【専門知識やスキル、資格は必要なし！】一般家庭をメインにエアコンなどの家電製品の取り付け業務をお任せします。,《未経験歓迎！年齢不問》正社員デビューをしたい方◆入社時の専門知識は一切不問です！,基本現場へ直行となります。 【横浜支社】 神奈川県横浜市都筑区池辺町4826-1 ※転勤なし ※マ…,月給27万〜50万円＋賞与年3回 勤続祝金支給（3ヵ月…5万円、1年…10万円支給） ※経験、能力を考慮し決定…,380万円～700万円
489,株式会社reclaim | 制度充実！頑張り次第で1000万以上も可能/寮完備/賞与年3回,★一生モノのスキルと資格で市場価値UP！★エアコン設置、住宅設備工事など適性にあわせてお任せします！/経験・資格ない方でも一流に育て上げます！,【未経験・第2新卒歓迎】 学歴・経験・資格いっさい不問★資格手当充実/電気工事士などの資格や、多彩な制度を活用し年収大幅UP！努力は収入に還元！,【川崎営業所】 神奈川県川崎市高津区北見方3-7-20 ※転勤なし ＆ 車・バイク・自転車通勤OK…,【完全週休2日制の場合】 月給24.2万円〜30.2万円 【隔週休2日制の場合】 月給28.5万円〜35万円 ※上記…,320万円～600万円
